,Tiers_Key,ancienne_classe_risque,date_entree_risque,classe_risque_actuelle,date_entree_classe_risque_actuelle,code_agence,code_dr,age_tiers,anciennete,sexe_rec,segment,etat_civil,situation_contractuelle,convention,employeur_client,revenu_mensuel,rupture_revenu,mvt_debit_moyen,duree_sommeil,max_credit,min_debit,nbr_mvt_credit,nbr_mvt_debit,nbr_open_comptes,nbr_closed_comptes,nbr_abonnements,nbr_desabonnements,total_placement,nbr_placements_actifs,nbr_placements_echus,nbr_open_engagements,nbr_closed_engagements,encours_Fin_periode,impaye_Fin_periode,nbr_impayes_periode,solde_moyen_mensuel,eng_cct,eng_cmt,eng_clt,Engagement_STB,Engagement_Secteur,anciennete_dern_eng_anticip,sortie_risque
2014,2590206,2,2019-12-31,1,2020-03-31,152,Z 580     ,27,0,Male,Particulier,0,2.0,-1,-1,68.333333,0,-57.483,85,800.0,-200.0,2,19,1,0,3,0,0.0,0,0,0,0,0.0,0.0,0.0,117.67,0.0,0.0,0.0,0.0,0.0,0.0,1
2015,2590495,2,2019-12-31,1,2020-03-31,80,Z 580     ,26,0,Male,Particulier,0,1.0,-1,-1,133.208333,0,-104.491,85,414.0,-440.0,10,29,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,0.363,0.0,0.0,0.0,0.0,0.0,0.0,1
2016,2590593,2,2019-12-31,1,2020-03-31,112,Z 580     ,38,0,Female,Particulier,0,1.0,-1,-1,1.666666,0,-16.66,85,20.0,-20.0,1,3,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,-5.528,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,2590600,2,2019-12-31,1,2020-03-31,80,Z 580     ,24,0,Female,Particulier,0,6.0,-1,-1,39.166666,0,-161.107,85,450.0,-450.0,2,4,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,98.814,0.0,0.0,0.0,0.0,0.0,0.0,1
2018,2590636,2,2019-12-31,1,2020-03-31,131,Z 510     ,33,0,Female,Particulier,0,1.0,-1,-1,115.0,0,-172.915,85,460.0,-350.0,3,11,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,276.494,0.0,0.0,0.0,0.0,0.0,0.0,1
2019,2591880,2,2019-12-31,3,2020-06-30,152,Z 580     ,39,0,Male,Professional,0,7.0,-1,-1,2869.583333,0,-688.03,85,7300.0,-4900.0,28,58,1,0,2,0,0.0,0,0,0,0,0.0,0.0,0.0,754.468,0.0,0.0,0.0,0.0,0.0,0.0,-1
2020,2592382,2,2019-12-31,1,2020-03-31,40,Z 580     ,67,0,Female,Particulier,0,5.0,-1,-1,4.166666,0,-16.701,85,30.0,-20.0,2,4,1,0,2,0,0.0,0,0,0,0,0.0,0.0,0.0,9.13,0.0,0.0,0.0,0.0,0.0,0.0,1
2021,2592467,2,2019-12-31,1,2020-03-31,101,Z 610     ,65,0,Female,Particulier,0,5.0,-1,-1,1.666666,0,-16.66,85,20.0,-17.85,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.737,0.0,0.0,0.0,0.0,0.0,0.0,1
2022,2592634,2,2019-12-31,3,2020-06-30,120,Z 610     ,23,0,Male,Particulier,0,2.0,-1,-1,90.638416,0,-61.938,85,500.0,-200.0,4,29,1,0,2,0,0.0,0,0,0,0,0.0,0.0,0.0,-59.566,0.0,0.0,0.0,0.0,0.0,0.0,-1
2023,2592845,2,2019-12-31,1,2020-03-31,142,Z 510     ,24,0,Male,Particulier,0,1.0,-1,-1,1.666666,0,-16.66,85,20.0,-17.85,1,2,2,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.737,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,2592847,2,2019-12-31,1,2020-03-31,80,Z 580     ,23,0,Female,Particulier,0,2.0,-1,-1,186.2325,0,-370.85,85,728.164,-700.0,4,13,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2.529,0.0,0.0,0.0,0.0,0.0,0.0,1
2025,2593018,2,2019-12-31,1,2020-03-31,44,Z 610     ,23,0,Male,Particulier,0,5.0,-1,-1,1.666666,0,-16.66,85,20.0,-17.85,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.737,0.0,0.0,0.0,0.0,0.0,0.0,1
2026,2593749,2,2019-12-31,1,2020-03-31,80,Z 580     ,63,0,Male,Particulier,0,4.0,-1,-1,1.666666,0,-16.66,85,20.0,-17.85,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.737,0.0,0.0,0.0,0.0,0.0,0.0,1
2027,2593853,2,2019-12-31,1,2020-03-31,133,Z 580     ,35,0,Female,Particulier,0,5.0,-1,-1,0.0,0,-17.85,85,0.0,-17.85,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-8.925,0.0,0.0,0.0,0.0,0.0,0.0,1
2028,2594506,2,2019-12-31,1,2020-03-31,83,Z 610     ,35,0,Male,Professional,0,7.0,-1,-1,4.166666,0,-16.66,85,50.0,-20.0,1,3,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,13.737,0.0,0.0,0.0,0.0,0.0,0.0,1
2029,2594615,2,2019-12-31,1,2020-03-31,73,Z 610     ,27,0,Male,Particulier,0,Indisponible,-1,-1,0.0,0,-17.85,85,0.0,-17.85,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-8.925,0.0,0.0,0.0,0.0,0.0,0.0,1
2030,2595673,2,2019-12-31,3,2020-06-30,152,Z 580     ,39,0,Male,Professional,0,7.0,-1,-1,391.420833,0,-743.143,85,4647.05,-4600.0,3,15,2,0,3,0,0.0,0,0,0,0,0.0,0.0,0.0,15.831,0.0,0.0,0.0,0.0,0.0,0.0,-1
2031,2596283,2,2019-12-31,1,2020-03-31,66,Z 510     ,38,0,Female,Particulier,0,2.0,-1,-1,159.585583,0,-193.899,85,495.418,-400.0,5,17,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-15.318,0.0,0.0,0.0,0.0,0.0,0.0,1
2032,2596849,2,2019-12-31,1,2020-03-31,120,Z 610     ,35,0,Male,Particulier,0,2.0,-1,-1,105.850583,0,-139.339,85,503.64,-450.0,5,16,1,0,1,0,0.0,0,0,0,0,0.0,0.0,0.0,37.334,0.0,0.0,0.0,0.0,0.0,0.0,1
2033,2597189,2,2019-12-31,1,2020-03-31,66,Z 510     ,23,0,Female,Particulier,0,5.0,-1,-1,40.298416,0,-171.332,85,483.581,-480.0,1,5,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,-15.307,0.0,0.0,0.0,0.0,0.0,0.0,1
2034,2597550,2,2019-12-31,0,2020-09-30,23,Z 610     ,32,0,Female,Particulier,0,2.0,1,-1,81.014,0,-245.842,85,614.149,-600.0,3,7,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,89.556,0.0,0.0,0.0,0.0,0.0,0.0,1
2035,2597854,2,2019-12-31,1,2020-03-31,12,Z 510     ,26,0,Male,Particulier,0,2.0,-1,-1,83.333333,0,-327.773,85,1000.0,-950.0,1,4,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,330.403,0.0,0.0,0.0,0.0,0.0,0.0,1
2036,2598160,3,2020-06-30,0,2020-09-30,56,Z 510     ,22,0,Female,Particulier,0,3.0,-1,-1,4363.083333,0,-1824.956,18,25000.0,-18687.5,4,37,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,13167.954,0.0,0.0,0.0,0.0,0.0,0.0,1
2037,2598391,2,2019-12-31,1,2020-03-31,89,Z 580     ,48,0,Male,Particulier,1,1.0,-1,-1,1475.0,0,-1263.481,85,17700.0,-4500.0,1,19,1,0,2,0,0.0,0,0,0,0,0.0,0.0,0.0,15.49,0.0,0.0,0.0,0.0,0.0,0.0,1
2038,2598393,2,2019-12-31,1,2020-03-31,83,Z 610     ,28,0,Male,Professional,0,7.0,-1,-1,4.166666,0,-6.869,85,50.0,-20.0,1,9,1,0,2,0,0.0,0,0,0,0,0.0,0.0,0.0,9.532,0.0,0.0,0.0,0.0,0.0,0.0,1
2039,2598470,2,2019-12-31,1,2020-03-31,46,Z 610     ,33,0,Male,Particulier,0,6.0,-1,-1,1.666666,0,-16.66,85,20.0,-17.85,1,2,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3.737,0.0,0.0,0.0,0.0,0.0,0.0,1
